id,stem,prompt,contentelementtypepropertykey,value,v2
3526,I would rather spend time learning about,the environment of ancient societies,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Archaeology
4103,I would rather spend time learning about,"historical remains (such as old clothes, tools etc.)",cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Archaeology
4108,I would rather spend time learning about,archaeological evidence,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Archaeology
1387,I want to learn about,the construction of buildings,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Architecture
1650,I want to learn about,the 3-dimensional design of buildings,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Architecture
1876,I want to learn about,the design of public spaces,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Architecture
2760,I would rather spend time learning about,how to design houses,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Architecture
3142,I would rather spend time learning about,methods for interior construction,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Architecture
3531,I would rather spend time learning about,using 3-dimensional design software,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Architecture
4120,I would rather spend time learning about,the history of architecture,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Architecture
4125,I would rather spend time learning about,designing parks and gardens,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Architecture
4130,I would rather spend time learning about,designing sustainable buildings,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Architecture
1392,I want to learn about,Asian culture,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Asian Studies
1655,I want to learn about,how to speak and write an Asian language,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Asian Studies
1879,I want to learn about,social change in Asia,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Asian Studies
2771,I would rather spend time learning about,the politics of an Asian country,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Asian Studies
3147,I would rather spend time learning about,Asian history,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Asian Studies
3536,I would rather spend time learning about,Asian economic development,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Asian Studies
4137,I would rather spend time learning about,literature from an Asian country,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Asian Studies
4142,I would rather spend time learning about,the art of an Asian country,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Asian Studies
4147,I would rather spend time learning about,international relations with Asian countries,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Asian Studies
1397,I want to learn about,the molecular basis of life,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Biology
1661,I want to learn about,ecology,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Biology
1890,I want to learn about,the immune system,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Biology
2776,I would rather spend time learning about,different species of insect,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Biology
3152,I would rather spend time learning about,the anatomy of animals,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Biology
3541,I would rather spend time learning about,biological cellular functions,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Biology
4152,I would rather spend time learning about,genetics,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Biology
4157,I would rather spend time learning about,the reproduction of life,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Biology
4162,I would rather spend time learning about,insects' central nervous system,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Biology
2781,I would rather spend time learning about,internet commerce,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Business
3157,I would rather spend time learning about,sustainable business practices,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Business
3546,I would rather spend time learning about,corporate risk management,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Business
4167,I would rather spend time learning about,business systems,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Business
4172,I would rather spend time learning about,starting a new business,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Business
4177,I would rather spend time learning about,international trade,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Business
2786,I would rather spend time learning about,how to make chemicals,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Chemical Engineering
3162,I would rather spend time learning about,using the laws of physics to control chemical processes,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Chemical Engineering
3551,I would rather spend time learning about,"developing new kinds of materials (e.g., plastic, carbon fiber)",cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Chemical Engineering
4182,I would rather spend time learning about,chemical hazards,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Chemical Engineering
4187,I would rather spend time learning about,ways to transform chemicals or materials,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Chemical Engineering
1402,I want to learn about,analyzing chemicals,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Chemistry
1672,I want to learn about,chemical principles,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Chemistry
1895,I want to learn about,chemical bonding,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Chemistry
2791,I would rather spend time learning about,chemical equilibrium,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Chemistry
3167,I would rather spend time learning about,the laws of energy transfer,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Chemistry
3556,I would rather spend time learning about,chemical math,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Chemistry
4194,I would rather spend time learning about,nuclear chemistry,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Chemistry
4199,I would rather spend time learning about,the structure of molecules,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Chemistry
4216,I would rather spend time learning about,the chemistry of living cells,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Chemistry
2796,I would rather spend time learning about,designing road systems,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Civil Engineering
3172,I would rather spend time learning about,calculating the strength of a bridge,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Civil Engineering
3561,I would rather spend time learning about,building with concrete,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Civil Engineering
4221,I would rather spend time learning about,designing tunnels,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Civil Engineering
4226,I would rather spend time learning about,transport management systems,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Civil Engineering
2801,I would rather spend time learning about,ancient Greek and Roman history,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Classics
3177,I would rather spend time learning about,ancient Greek literature,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Classics
3580,I would rather spend time learning about,reading Latin or Greek,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Classics
4231,I would rather spend time learning about,ancient Roman literature,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Classics
4236,I would rather spend time learning about,ancient Roman and Greek mythology,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Classics
1413,I want to learn about,mass media,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Communications
1677,I want to learn about,social media production,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Communications
1900,I want to learn about,how the media influences the way people think,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Communications
2806,I would rather spend time learning about,how words influence the way people think,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Communications
3195,I would rather spend time learning about,different social communication channels,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Communications
4241,I would rather spend time learning about,the way people are influenced by social media,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Communications
4246,I would rather spend time learning about,how people respond to news stories,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Communications
4251,I would rather spend time learning about,how organizations communicate with the public,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Communications
49143,I would rather spend time learning about,video production,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Communications
1418,I want to learn about,writing computer code,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Computer Science
1682,I want to learn about,how apps get information from databases,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Computer Science
1906,I want to learn about,how computer networks work,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Computer Science
2813,I would rather spend time learning about,computer security,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Computer Science
3200,I would rather spend time learning about,generating computer images,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Computer Science
3596,I would rather spend time learning about,developing software,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Computer Science
4256,I would rather spend time learning about,how people interact with computers,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Computer Science
4261,I would rather spend time learning about,designing an internet search engine,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Computer Science
4266,I would rather spend time learning about,designing databases,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Computer Science
1423,I want to learn about,the criminal justice system,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Criminology
1688,I want to learn about,strategies for crime prevention,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Criminology
1911,I want to learn about,criminal law,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Criminology
2818,I would rather spend time learning about,helping victims of crime,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Criminology
3205,I would rather spend time learning about,investigating criminal acts,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Criminology
3601,I would rather spend time learning about,criminal  justice procedures,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Criminology
4271,I would rather spend time learning about,drug treatment programs,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Criminology
4276,I would rather spend time learning about,the prison system,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Criminology
4281,I would rather spend time learning about,the causes of terrorism,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Criminology
1429,I want to learn about,dance performance,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Dance
1693,I want to learn about,modern dance,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Dance
1916,I want to learn about,the history of dance,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Dance
2823,I would rather spend time learning about,the beauty of human movement,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Dance
3208,I would rather spend time learning about,rhythmic movement,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Dance
3606,I would rather spend time learning about,choreographing dance,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Dance
4286,I would rather spend time learning about,jazz dance,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Dance
4291,I would rather spend time learning about,modern dance,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Dance
2828,I would rather spend time learning about,making digital animation,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Digital Media
3223,I would rather spend time learning about,designing web pages,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Digital Media
3611,I would rather spend time learning about,creating interactive digital media,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Digital Media
4296,I would rather spend time learning about,digital video editing,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Digital Media
4301,I would rather spend time learning about,editing digital sound files,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Digital Media
2833,I would rather spend time learning about,quantifying economic activity,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Economics
3228,I would rather spend time learning about,how supply and demand influence prices,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Economics
3616,I would rather spend time learning about,how money flows around the world,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Economics
4306,I would rather spend time learning about,how income is distributed in a society,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Economics
4311,I would rather spend time learning about,employment and wages,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Economics
4316,I would rather spend time learning about,government financial policy,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Economics
1434,I want to learn about,teaching,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Education
1698,I want to learn about,helping children achieve,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Education
1921,I want to learn about,making teaching materials,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Education
2838,I would rather spend time learning about,designing teaching activities,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Education
3233,I would rather spend time learning about,how to observe students,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Education
3621,I would rather spend time learning about,motivating children/youth to read,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Education
4321,I would rather spend time learning about,guiding the behaviour of youth,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Education
4326,I would rather spend time learning about,supporting special needs children,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Education
4331,I would rather spend time learning about,planning lessons,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Education
2843,I would rather spend time learning about,how computer hard drives work,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Electrical Engineering
3238,I would rather spend time learning about,the way information travels through internet routers,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Electrical Engineering
3626,I would rather spend time learning about,computer network security,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Electrical Engineering
4336,I would rather spend time learning about,complex electronic circuits,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Electrical Engineering
4342,I would rather spend time learning about,using math to calculate signal strength,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Electrical Engineering
2848,I would rather spend time learning about,the design of power systems,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Engineering
3243,I would rather spend time learning about,estimating the cost of a construction project,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Engineering
3631,I would rather spend time learning about,how different materials react to each other,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Engineering
4348,I would rather spend time learning about,chemical reactions,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Engineering
4359,I would rather spend time learning about,building environmentally friendly engines,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Engineering
1439,I want to learn about,distinguished writers,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,English
1703,I want to learn about,reading drama,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,English
1926,I want to learn about,analyzing and comparing novels,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,English
2853,I would rather spend time learning about,different styles of literature,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,English
3248,I would rather spend time learning about,fiction,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,English
3636,I would rather spend time learning about,reading poetry,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,English
4364,I would rather spend time learning about,how people tell stories,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,English
4369,I would rather spend time learning about,stories from around the world,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,English
4374,I would rather spend time learning about,stories written a long time ago,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,English
1426,I want to learn about,the principles of environmental sustainability,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Environmental Science
1711,I want to learn about,the science of global climate change,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Environmental Science
1935,I want to learn about,solving environmental problems,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Environmental Science
2859,I would rather spend time learning about,protecting water resources,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Environmental Science
3253,I would rather spend time learning about,the science of the natural world,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Environmental Science
3641,I would rather spend time learning about,how humans change natural environments,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Environmental Science
4379,I would rather spend time learning about,the ethical use of environmental resources,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Environmental Science
4384,I would rather spend time learning about,rules that protect the environment,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Environmental Science
4485,I would rather spend time learning about,sustainable development,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Environmental Science
2864,I would rather spend time learning about,the French language,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,French
3258,I would rather spend time learning about,French literature,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,French
3646,I would rather spend time learning about,French movies,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,French
4389,I would rather spend time learning about,French culture,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,French
4394,I would rather spend time learning about,French history,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,French
1446,I want to learn about,objects of art,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,G_ART
1716,I want to learn about,digital art techniques,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,G_ART
1940,I want to learn about,painting or drawing,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,G_ART
1451,I want to learn about,business strategy,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,G_BSNS
1721,I want to learn about,financial planning,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,G_BSNS
1943,I want to learn about,making business decisions when there is risk and uncertainty,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,G_BSNS
1456,I want to learn about,construction materials,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,G_ENG
1726,I want to learn about,designing stable buildings,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,G_ENG
1950,I want to learn about,how machines work,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,G_ENG
1461,I want to learn about,how the human body works,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,G_HEALTH
1732,I want to learn about,medical research,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,G_HEALTH
1955,I want to learn how to,use medical words,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,G_HEALTH
1473,I want to learn about,how societies change over time,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,G_HIST
1735,I want to learn about,ancient civilizations,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,G_HIST
1960,I want to learn about,how social and political conflicts were resolved,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,G_HIST
1478,I want to learn about,how to speak and write in another language,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,G_LANG
1738,I want to learn about,the vocabulary and grammar of another language,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,G_LANG
1965,I want to learn about,novels in another language,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,G_LANG
1483,I want to learn about,feminism,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Gender Studies
1745,I want to learn about,gender issues,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Gender Studies
1970,I want to learn about,critiquing traditional social values,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Gender Studies
2869,I would rather spend time learning about,gay and lesbian culture,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Gender Studies
3263,I would rather spend time learning about,gender politics,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Gender Studies
3651,I would rather spend time learning about,feminist literature,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Gender Studies
4400,I would rather spend time learning about,gender politics,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Gender Studies
4405,I would rather spend time learning about,human sexuality,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Gender Studies
4410,I would rather spend time learning about,feminism,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Gender Studies
1488,I want to learn about,how humans use the natural environment,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Geography
1750,I want to learn about,how the environment influences agriculture,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Geography
1984,I want to learn about,how the  environment influences economic activity,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Geography
2965,I would rather spend time learning about,the science of weather,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Geography
3268,I would rather spend time learning about,how cities are constructed and organized,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Geography
3656,I would rather spend time learning about,how the environment affects health,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Geography
4415,I would rather spend time learning about,how rivers and mountains become country borders,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Geography
4420,I would rather spend time learning about,how the environment affects poverty,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Geography
1493,I want to learn about,the formation of rocks,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,Geology
1755,I want to learn about,volcanoes,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,Geology
1989,I want to learn about,how earthquakes occur,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,Geology
2970,I would rather spend time learning about,the structure of the ocean floor,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Geology
3273,I would rather spend time learning about,minerals and chemicals,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Geology
3661,I would rather spend time learning about,the Earth's atmosphere,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Geology
4425,I would rather spend time learning about,the Earth's climate,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Geology
4430,I would rather spend time learning about,fossils,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Geology
4435,I would rather spend time learning about,the structure of Planet Earth,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Geology
2975,I would rather spend time learning about,the German language,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,German
3278,I would rather spend time learning about,German movies,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,German
3666,I would rather spend time learning about,German literature,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,German
4440,I would rather spend time learning about,German culture,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,German
4445,I would rather spend time learning about,German history,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,German
2986,I would rather spend time learning about,community health education,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Health Science
3283,I would rather spend time learning about,mental health,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Health Science
3671,I would rather spend time learning about,the risk factors for disease,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Health Science
4450,I would rather spend time learning about,human anatomy,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Health Science
4455,I would rather spend time learning about,medical research,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Health Science
4460,I would rather spend time learning about,how different kinds of medicine work,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Health Science
2991,I would rather spend time learning about,the history of different countries,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,History
3288,I would rather spend time learning about,how to interpret historical records,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,History
3677,I would rather spend time learning about,how inventions have changed society over time,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,History
4470,I would rather spend time learning about,revolutions that changed the world,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,History
4475,I would rather spend time learning about,technology that changed society in the past,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,History
4480,I would rather spend time learning about,the history of countries around the world,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,History
1498,I want to learn about,global economic development,cet_property_cati_msproperties_assessed_category_B,R01_LIKERT,International Studies
1780,I want to learn about,international law,cet_property_cati_msproperties_assessed_category_B,R02_LIKERT,International Studies
1994,I want to learn about,international organizations such as the United Nations,cet_property_cati_msproperties_assessed_category_B,R03_LIKERT,International Studies
3002,I would rather spend time learning about,diplomatic relations between countries,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,International Studies
3293,I would rather spend time learning about,global population growth,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,International Studies
3682,I would rather spend time learning about,global wealth distribution,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,International Studies
4497,I would rather spend time learning about,human rights issues,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,International Studies
4502,I would rather spend time learning about,the history of international relations,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,International Studies
3009,I would rather spend time learning about,Italian literature,cet_property_cati_msproperties_assessed_category_B,R04_IPSATIVE,Italian
3298,I would rather spend time learning about,how to speak and write Italian,cet_property_cati_msproperties_assessed_category_B,R05_IPSATIVE,Italian
3692,I would rather spend time learning about,Italian history,cet_property_cati_msproperties_assessed_category_B,R06_IPSATIVE,Italian
4507,I would rather spend time learning about,Italian movies,cet_property_cati_msproperties_assessed_category_B,R07_IPSATIVE,Italian
